"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:28:16.1082295 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1082786 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1083487 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1083999 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1084705 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1085190 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1085887 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1086369 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1087072 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1087551 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1088254 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1088609 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1089342 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1089700 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1090382 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1090867 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1091561 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1092125 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1092819 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1093301 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1093995 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1094477 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1095174 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1095650 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:28:16.1096335 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 15045, endtime: 15045, seqnum: 0, connid: 0"
"4:28:16.1096814 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49243 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
