"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:39:14.2968658 AM","stub.exe","2304","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\AppData","SUCCESS","Type: REG_EXPAND_SZ, Length: 60, Data: %USERPROFILE%\AppData\Roaming"
"4:39:14.2968728 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:39:14.2968789 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","REPARSE","Desired Access: Read"
"4:39:14.2968889 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS","Desired Access: Read"
"4:39:14.2968952 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:39:14.2968995 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001\ProfileImagePath","SUCCESS","Type: REG_EXPAND_SZ, Length: 30, Data: C:\Users\admin"
"4:39:14.2969040 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001\ProfileImagePath","SUCCESS","Type: REG_EXPAND_SZ, Length: 30, Data: C:\Users\admin"
"4:39:14.2969095 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS",""
"4:39:14.2969149 AM","stub.exe","2304","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS",""
"4:39:14.2970044 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:39:14.2970228 AM","stub.exe","2304","QueryDirectory","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk\rasphone.pbk","NO SUCH FILE","Filter: rasphone.pbk"
"4:39:14.2970328 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk","SUCCESS",""
"4:39:14.2970995 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:39:14.2971117 AM","stub.exe","2304","QueryDirectory","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk\*.pbk","NO SUCH FILE","Filter: *.pbk"
"4:39:14.2971214 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk","SUCCESS",""
