"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:53:17.7690047 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 204, seqnum: 0, connid: 0"
"5:53:17.7694027 AM","stub.exe","11368","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"5:53:17.7695037 AM","stub.exe","11368","RegOpenKey","HKCU\AppEvents\EventLabels\.Default\Test\","SUCCESS","Desired Access: All Access"
"5:53:17.7696007 AM","stub.exe","11368","RegSetInfoKey","HKCU\AppEvents\EventLabels\.Default\Test","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"5:53:17.7696693 AM","stub.exe","11368","RegSetValue","HKCU\AppEvents\EventLabels\.Default\Test\dasdsd","SUCCESS","Type: REG_DWORD, Length: 4, Data: 23"
"5:53:17.7698534 AM","stub.exe","11368","RegCloseKey","HKCU\AppEvents\EventLabels\.Default\Test","SUCCESS",""
