"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:15:44.3565425 AM","stub.exe","2304","CreateFile","C:\Windows\SysWOW64\cscapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.3566083 AM","stub.exe","2304","QueryBasicInformationFile","C:\Windows\SysWOW64\cscapi.dll","SUCCESS","CreationTime: 11/20/2010 8:24:02 PM, LastAccessTime: 11/20/2010 8:24:02 PM, LastWriteTime: 11/20/2010 8:24:02 PM, ChangeTime: 3/13/2014 12:56:55 PM, FileAttributes: A"
"4:15:44.3566161 AM","stub.exe","2304","CloseFile","C:\Windows\SysWOW64\cscapi.dll","SUCCESS",""
"4:15:44.3566622 AM","stub.exe","2304","CreateFile","C:\Windows\SysWOW64\cscapi.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.3567040 AM","stub.exe","2304","CreateFileMapping","C:\Windows\SysWOW64\cscapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"4:15:44.3567353 AM","stub.exe","2304","CreateFileMapping","C:\Windows\SysWOW64\cscapi.dll","SUCCESS","SyncType: SyncTypeOther"
"4:15:44.3567983 AM","stub.exe","2304","Load Image","C:\Windows\SysWOW64\cscapi.dll","SUCCESS","Image Base: 0x736e0000, Image Size: 0xb000"
"4:15:44.3568131 AM","stub.exe","2304","CloseFile","C:\Windows\SysWOW64\cscapi.dll","SUCCESS",""
"4:15:44.3569450 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3569565 AM","stub.exe","2304","RegOpenKey","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\NetworkProvider","REPARSE","Desired Access: Query Value"
"4:15:44.3569677 AM","stub.exe","2304","RegOpenKey","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\NetworkProvider","SUCCESS","Desired Access: Query Value"
"4:15:44.3569805 AM","stub.exe","2304","RegSetInfoKey","HKLM\System\CurrentControlSet\services\LanmanWorkstation\NetworkProvider","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.3569871 AM","stub.exe","2304","RegQueryValue","HKLM\System\CurrentControlSet\services\LanmanWorkstation\NetworkProvider\Name","SUCCESS","Type: REG_SZ, Length: 52, Data: Microsoft Windows Network"
"4:15:44.3569935 AM","stub.exe","2304","RegQueryValue","HKLM\System\CurrentControlSet\services\LanmanWorkstation\NetworkProvider\Name","SUCCESS","Type: REG_SZ, Length: 52, Data: Microsoft Windows Network"
"4:15:44.3570002 AM","stub.exe","2304","RegCloseKey","HKLM\System\CurrentControlSet\services\LanmanWorkstation\NetworkProvider","SUCCESS",""
"4:15:44.3581862 AM","stub.exe","2304","CreateFile","\\;VBoxMiniRdr\","SUCCESS","Desired Access: Generic Read/Write, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.3582168 AM","stub.exe","2304","CreateFile","\\;VBoxMiniRdr\","SUCCESS","Desired Access: Generic Read/Write, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.3582438 AM","stub.exe","2304","ReadFile","C:\Windows\SysWOW64\shell32.dll","SUCCESS","Offset: 3,328,000, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"4:15:44.3610156 AM","stub.exe","2304","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3610274 AM","stub.exe","2304","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\##vboxsrv#SharedWithVM","SUCCESS","Desired Access: Read/Write"
"4:15:44.3610971 AM","stub.exe","2304","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\##vboxsrv#SharedWithVM","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.3611107 AM","stub.exe","2304","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\##vboxsrv#SharedWithVM\_CommentFromDesktopINI","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"4:15:44.3611195 AM","stub.exe","2304","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\##vboxsrv#SharedWithVM","SUCCESS",""
"4:15:44.3611319 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3611410 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Policies\Explorer","REPARSE","Desired Access: Query Value"
"4:15:44.3611647 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.3611741 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.3611792 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveAutoRun","NAME NOT FOUND","Length: 144"
"4:15:44.3611865 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS",""
"4:15:44.3611926 AM","stub.exe","2304","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3611992 AM","stub.exe","2304","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NAME NOT FOUND","Desired Access: Query Value"
"4:15:44.3612074 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3612132 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Policies\Explorer","REPARSE","Desired Access: Query Value"
"4:15:44.3612229 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.3612289 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.3612338 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDrives","NAME NOT FOUND","Length: 144"
"4:15:44.3612395 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS",""
"4:15:44.3612447 AM","stub.exe","2304","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3612508 AM","stub.exe","2304","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","NAME NOT FOUND","Desired Access: Query Value"
"4:15:44.3612580 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.3612635 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Policies\Explorer","REPARSE","Desired Access: Query Value"
"4:15:44.3612729 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.3612783 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.3612832 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveTypeAutoRun","NAME NOT FOUND","Length: 144"
"4:15:44.3612886 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS",""
"4:15:44.3612938 AM","stub.exe","2304","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
